rssi,amplitude,phase
-61,"[19.646883, 21.587033, 24.515301, 26.683328, 26.683328, 25.495098, 23.769729, 20.880613, 18.384776, 15.264338, 12.727922, 11.7047, 13.038405, 17.088007, 20.59126, 25.238859, 27.202941, 28.600699, 29.206164, 28.425341, 27.018512, 24.083189, 21.213203, 17.029386, 13.892444, 11.7047, 5.09902, 12.727922, 15.0, 18.867962, 21.633308, 23.853721, 25.806976, 26.400758, 26.248809, 24.758837, 23.430749, 20.248457, 16.124515, 12.083046, 7.28011, 3.162278, 3.162278, 6.403124, 10.29563, 13.601471, 15.297059, 17.029386, 18.027756, 18.439089, 18.384776, 18.867962]","[-0.257324, -0.233743, -0.205395, -0.226799, -0.226799, -0.197396, -0.255182, -0.291457, -0.390607, -0.551655, -0.785398, -1.222025, -1.647568, -1.929567, -2.077895, -2.158799, -2.199593, -2.207305, -2.234842, -2.256526, -2.251318, -2.297439, -2.356194, -2.439336, -2.613518, -2.792822, 2.944197, 2.356194, 2.214297, 2.129396, 2.158799, 2.147172, 2.191046, 2.221873, 2.27529, 2.384758, 2.446854, 2.567288, 2.622447, 2.714965, 2.863293, -2.819842, -1.249046, -0.674741, -0.507099, -0.298499, -0.197396, -0.058756, 0.055499, 0.218669, 0.390607, 0.558599]"
-61,"[19.849433, 23.345235, 26.172505, 28.319605, 28.319605, 27.586228, 25.495098, 22.671568, 19.416488, 16.552945, 13.341664, 12.369317, 12.806248, 15.811388, 19.697716, 24.351591, 26.925824, 27.892651, 28.861739, 28.635642, 26.476405, 24.33105, 20.223748, 16.03122, 12.165525, 9.848858, 4.472136, 12.041595, 15.297059, 18.681542, 21.84033, 23.769729, 25.70992, 26.305893, 26.172505, 25.019992, 23.021729, 19.235384, 15.297059, 11.401754, 6.708204, 2.236068, 4.0, 8.246211, 11.7047, 14.764823, 16.643317, 18.439089, 19.104973, 20.808652, 21.023796, 20.880613]","[-2.427502, -2.386488, -2.383215, -2.406153, -2.406153, -2.38183, -2.411693, -2.418613, -2.539305, -2.704965, -2.914794, 2.896614, 2.466852, 2.176341, 1.989021, 1.905533, 1.833791, 1.82447, 1.815775, 1.78189, 1.760785, 1.735945, 1.719686, 1.633215, 1.405648, 1.152572, 0.463648, -0.083141, -0.197396, -0.270947, -0.2783, -0.255182, -0.235545, -0.152649, -0.114877, -0.039979, 0.043451, 0.156602, 0.197396, 0.266252, 0.463648, 1.107149, 3.141593, -2.896614, -2.792822, -2.647651, -2.570255, -2.432966, -2.319174, -2.185459, -2.013171, -1.862253]"
-61,"[20.124612, 23.259407, 25.495098, 27.313001, 27.313001, 26.400758, 24.596748, 21.470911, 18.867962, 15.620499, 13.038405, 12.165525, 12.369317, 15.264338, 19.849433, 24.083189, 26.248809, 27.802878, 28.600699, 28.600699, 26.627054, 23.853721, 19.723083, 16.552945, 12.369317, 10.0, 5.0, 13.416408, 15.811388, 19.646883, 22.803509, 25.0, 26.248809, 26.570661, 26.0, 25.942244, 23.853721, 20.808652, 17.029386, 12.727922, 7.81025, 2.236068, 2.236068, 6.403124, 10.816654, 14.317821, 17.088007, 18.439089, 19.104973, 20.024984, 20.396078, 20.248457]","[2.677945, 2.697173, 2.695487, 2.727086, 2.727086, 2.71183, 2.677945, 2.657115, 2.582993, 2.446854, 2.137526, 1.735945, 1.325818, 1.019141, 0.856706, 0.726642, 0.704494, 0.657889, 0.636508, 0.636508, 0.598419, 0.576375, 0.531724, 0.436627, 0.244979, 0.0, -0.643501, -1.107149, -1.249046, -1.313473, -1.304544, -1.287002, -1.261093, -1.225241, -1.176005, -1.089909, -0.994421, -0.956133, -0.868539, -0.785398, -0.694738, -0.463648, 2.034444, 2.466852, 2.55359, 2.709185, 2.782822, 2.922924, 3.036716, -3.091634, -2.944197, -2.788602]"
-61,"[19.849433, 21.931712, 25.495098, 26.907248, 27.586228, 26.172505, 24.839485, 22.022716, 19.416488, 15.652476, 13.152946, 12.369317, 13.601471, 17.029386, 21.470911, 25.079872, 27.856777, 28.79236, 29.410882, 29.410882, 27.202941, 25.0, 21.587033, 17.262677, 14.0, 11.18034, 5.0, 12.165525, 15.033296, 18.0, 22.022716, 24.0, 26.0, 27.018512, 26.172505, 24.33105, 22.803509, 20.248457, 16.552945, 12.529964, 7.81025, 3.605551, 3.0, 6.324555, 10.29563, 13.601471, 16.278821, 17.804494, 18.867962, 19.697716, 19.646883, 19.104973]","[-0.856706, -0.817645, -0.840897, -0.837981, -0.811034, -0.812419, -0.870903, -0.881872, -0.968509, -1.107149, -1.418147, -1.815775, -2.199593, -2.439336, -2.657115, -2.731465, -2.774419, -2.786887, -2.830594, -2.830594, -2.843094, -2.857799, -2.907849, -2.96692, 3.141593, 2.961739, 2.498092, 1.735945, 1.637364, 1.570796, 1.525373, 1.570796, 1.570796, 1.607816, 1.685673, 1.735945, 1.837048, 1.923787, 2.007423, 2.070143, 2.265535, 2.55359, -1.570796, -1.249046, -1.063698, -0.942, -0.828849, -0.665969, -0.558599, -0.418224, -0.257324, -0.104877]"
-61,"[19.416488, 22.203603, 25.806976, 28.017851, 28.017851, 25.806976, 24.413111, 21.400935, 18.439089, 15.620499, 12.083046, 11.0, 12.083046, 15.556349, 20.0, 23.323808, 26.41969, 27.294688, 27.730849, 27.730849, 26.400758, 23.769729, 19.313208, 16.492423, 13.038405, 10.198039, 5.0, 13.601471, 16.278821, 20.099751, 22.090722, 24.083189, 26.172505, 27.294688, 26.683328, 25.298221, 23.769729, 20.124612, 16.124515, 12.206556, 7.81025, 2.828427, 2.236068, 6.403124, 10.630146, 14.21267, 16.124515, 18.384776, 18.681542, 20.223748, 21.0, 21.213203]","[2.539305, 2.516108, 2.521343, 2.533791, 2.533791, 2.521343, 2.530867, 2.488746, 2.432966, 2.265535, 1.997424, 1.570796, 1.144169, 0.785398, 0.643501, 0.54042, 0.514451, 0.496423, 0.44752, 0.44752, 0.429762, 0.388319, 0.370891, 0.244979, 0.076772, -0.197396, -0.927295, -1.272297, -1.385448, -1.471128, -1.480136, -1.487655, -1.45592, -1.423718, -1.343997, -1.249046, -1.182478, -1.107149, -1.05165, -0.96007, -0.876058, -0.785398, 2.034444, 2.245537, 2.422763, 2.455863, 2.622447, 2.750986, 2.870646, 2.992703, 3.141593, -2.999696]"
-61,"[19.416488, 21.587033, 25.495098, 26.683328, 26.683328, 26.683328, 24.515301, 22.203603, 19.104973, 15.033296, 12.649111, 12.041595, 13.0, 16.124515, 20.024984, 24.186773, 27.45906, 28.635642, 28.635642, 28.861739, 26.925824, 23.769729, 20.880613, 17.088007, 13.038405, 11.313708, 6.0, 13.601471, 16.552945, 20.124612, 22.825424, 25.059928, 27.294688, 27.730849, 27.856777, 25.96151, 24.33105, 21.095023, 17.029386, 13.0, 8.062258, 3.162278, 2.0, 6.082763, 10.440307, 13.0, 16.124515, 18.027756, 19.104973, 19.849433, 20.59126, 20.615528]","[1.778293, 1.80454, 1.768192, 1.797595, 1.797595, 1.797595, 1.776192, 1.706324, 1.675673, 1.504228, 1.249046, 0.844154, 0.394791, 0.124355, -0.049958, -0.124355, -0.183111, -0.211093, -0.211093, -0.244979, -0.262995, -0.255182, -0.291457, -0.358771, -0.566729, -0.785398, -1.570796, -1.869295, -2.007423, -2.034444, -2.07364, -2.070143, -2.067219, -2.018316, -1.93797, -1.843805, -1.735945, -1.665748, -1.629552, -1.570796, -1.446441, -1.249046, 1.570796, 1.735945, 1.862253, 1.965587, 2.089942, 2.158799, 2.319174, 2.427502, 2.634494, 2.74307]"
-61,"[19.697716, 22.472205, 26.0, 27.856777, 27.856777, 26.570661, 24.698178, 21.931712, 19.235384, 16.401219, 13.601471, 12.369317, 14.142136, 17.464249, 21.633308, 26.400758, 29.068884, 29.732137, 30.413813, 30.413813, 28.284271, 25.455844, 21.931712, 18.601075, 14.764823, 11.401754, 5.09902, 13.453624, 15.811388, 19.723083, 22.472205, 24.698178, 26.627054, 27.202941, 26.248809, 25.455844, 23.430749, 20.808652, 16.124515, 12.083046, 8.544004, 4.0, 2.236068, 6.403124, 9.848858, 13.341664, 16.124515, 18.0, 19.235384, 18.973666, 20.124612, 19.416488]","[-0.418224, -0.363979, -0.394791, -0.367174, -0.367174, -0.345556, -0.372988, -0.422854, -0.486899, -0.655696, -0.942, -1.325818, -1.712693, -1.983207, -2.158799, -2.221873, -2.283154, -2.308611, -2.332943, -2.332943, -2.356194, -2.356194, -2.388441, -2.508844, -2.647651, -2.875341, 2.944197, 2.303611, 2.176341, 2.10252, 2.134113, 2.125104, 2.169215, 2.199593, 2.27529, 2.356194, 2.446854, 2.52693, 2.622447, 2.714965, 2.782822, 3.141593, -1.107149, -0.674741, -0.418224, -0.226799, -0.124355, 0.0, 0.156602, 0.321751, 0.463648, 0.602287]"
-61,"[20.099751, 23.086793, 26.172505, 28.160256, 28.160256, 27.166155, 26.07681, 23.021729, 20.024984, 17.262677, 14.317821, 12.727922, 13.928388, 17.029386, 21.095023, 25.495098, 27.658633, 29.12044, 30.364453, 29.410882, 27.513633, 25.632011, 21.540659, 17.464249, 14.422205, 11.313708, 5.09902, 13.0, 15.264338, 18.601075, 21.400935, 23.600847, 25.806976, 26.925824, 25.942244, 25.079872, 23.086793, 20.615528, 16.124515, 12.041595, 7.0, 2.236068, 2.236068, 7.071068, 11.0, 14.142136, 16.492423, 18.384776, 19.235384, 20.0, 20.518285, 20.808652]","[-1.471128, -1.484058, -1.45592, -1.464061, -1.464061, -1.460139, -1.494024, -1.527345, -1.620755, -1.745469, -2.003204, -2.356194, -2.774419, -3.082837, 3.046641, 2.944197, 2.922924, 2.863293, 2.840672, 2.830594, 2.808348, 2.782822, 2.761086, 2.729182, 2.55359, 2.356194, 1.768192, 1.176005, 1.019141, 0.938047, 0.91795, 0.93577, 0.950547, 1.024007, 1.089909, 1.160669, 1.262744, 1.325818, 1.446441, 1.487655, 1.570796, 2.034444, -2.034444, -1.712693, -1.570796, -1.428899, -1.325818, -1.180189, -1.083897, -0.927295, -0.750929, -0.614663]"
-61,"[18.384776, 21.931712, 24.758837, 26.870058, 26.870058, 26.870058, 25.455844, 21.931712, 19.209373, 16.124515, 13.601471, 12.165525, 13.892444, 17.029386, 21.095023, 25.059928, 27.730849, 28.635642, 29.966648, 29.546573, 28.231188, 25.632011, 22.135944, 18.439089, 15.033296, 13.152946, 6.403124, 14.317821, 16.763055, 20.615528, 23.537205, 25.70992, 26.925824, 27.202941, 26.925824, 25.495098, 24.186773, 20.808652, 17.029386, 12.727922, 7.81025, 3.605551, 2.236068, 5.656854, 9.433981, 13.0, 15.524175, 17.262677, 18.027756, 19.104973, 19.646883, 19.697716]","[0.785398, 0.753151, 0.756835, 0.785398, 0.785398, 0.785398, 0.785398, 0.753151, 0.674741, 0.519146, 0.298499, -0.165149, -0.528074, -0.868539, -1.022247, -1.07145, -1.123276, -1.138389, -1.122073, -1.152572, -1.170556, -1.212026, -1.249046, -1.352127, -1.504228, -1.723446, -2.245537, -2.709185, -2.838708, -2.896614, -2.927532, -2.906048, -2.878598, -2.843094, -2.761086, -2.695487, -2.622447, -2.52693, -2.439336, -2.356194, -2.265535, -2.158799, 0.463648, 0.785398, 1.012197, 1.176005, 1.310194, 1.396124, 1.515298, 1.675673, 1.82812, 1.989021]"
-61,"[17.204651, 20.0, 22.803509, 24.207437, 24.207437, 23.430749, 21.400935, 19.416488, 17.492856, 14.317821, 12.041595, 11.401754, 12.806248, 15.0, 19.235384, 21.931712, 24.698178, 25.632011, 26.570661, 25.632011, 24.351591, 22.135944, 19.646883, 16.278821, 13.0, 11.18034, 5.0, 12.083046, 14.866069, 17.464249, 20.396078, 22.561028, 23.769729, 24.041631, 24.351591, 23.259407, 21.954498, 19.416488, 15.620499, 11.313708, 7.81025, 3.605551, 1.414214, 5.0, 8.944272, 11.7047, 13.601471, 15.132746, 16.0, 17.262677, 18.027756, 17.888544]","[0.620249, 0.643501, 0.661043, 0.668289, 0.668289, 0.694738, 0.652847, 0.602287, 0.54042, 0.432408, 0.083141, -0.266252, -0.674741, -0.927295, -1.083897, -1.147942, -1.197809, -1.212026, -1.225241, -1.212026, -1.236059, -1.249046, -1.313473, -1.385448, -1.570796, -1.75065, -2.214297, -2.714965, -2.798569, -2.910502, -2.944197, -2.918116, -2.88641, -2.846152, -2.806856, -2.697173, -2.616797, -2.539305, -2.446854, -2.356194, -2.265535, -2.158799, 0.785398, 0.927295, 1.107149, 1.222025, 1.272297, 1.438245, 1.570796, 1.745469, 1.910089, 2.034444]"
