rssi,amplitude_0,amplitude_1,amplitude_2,amplitude_3,amplitude_4,amplitude_5,amplitude_6,amplitude_7,amplitude_8,amplitude_9,amplitude_10,amplitude_11,amplitude_12,amplitude_13,amplitude_14,amplitude_15,amplitude_16,amplitude_17,amplitude_18,amplitude_19,amplitude_20,amplitude_21,amplitude_22,amplitude_23,amplitude_24,amplitude_25,amplitude_26,amplitude_27,amplitude_28,amplitude_29,amplitude_30,amplitude_31,amplitude_32,amplitude_33,amplitude_34,amplitude_35,amplitude_36,amplitude_37,amplitude_38,amplitude_39,amplitude_40,amplitude_41,amplitude_42,amplitude_43,amplitude_44,amplitude_45,amplitude_46,amplitude_47,amplitude_48,amplitude_49,amplitude_50,amplitude_51,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_16,phase_17,phase_18,phase_19,phase_20,phase_21,phase_22,phase_23,phase_24,phase_25,phase_26,phase_27,phase_28,phase_29,phase_30,phase_31,phase_32,phase_33,phase_34,phase_35,phase_36,phase_37,phase_38,phase_39,phase_40,phase_41,phase_42,phase_43,phase_44,phase_45,phase_46,phase_47,phase_48,phase_49,phase_50,phase_51
-60,10.0,10.816654,11.401754,12.041595,11.313708,10.630146,10.630146,8.485281,7.071068,6.403124,5.385165,5.0,6.082763,7.615773,8.944272,10.29563,10.29563,11.661904,11.661904,11.661904,11.18034,11.18034,9.848858,8.944272,8.062258,6.403124,2.236068,6.082763,8.544004,11.661904,14.764823,17.888544,21.023796,22.472205,24.041631,23.769729,23.345235,22.203603,19.104973,16.278821,13.601471,12.529964,12.727922,14.764823,18.027756,20.880613,23.769729,25.96151,28.160256,29.732137,30.083218,30.463092,-0.643501,-0.588003,-0.661043,-0.726642,-0.785398,-0.851966,-0.851966,-0.785398,-0.785398,-0.674741,-0.380506,0.0,0.165149,0.404892,0.463648,0.507099,0.507099,0.54042,0.54042,0.54042,0.463648,0.463648,0.418224,0.463648,0.519146,0.674741,1.107149,1.735945,1.929567,2.111216,2.064738,2.034444,2.013171,1.934775,1.866237,1.825979,1.742987,1.706324,1.675673,1.756144,1.869295,2.070143,2.356194,2.647651,2.8023,2.850136,2.88641,2.868584,2.853537,2.798569,2.767259,2.736701
-60,9.848858,10.77033,11.7047,11.401754,11.18034,10.198039,9.055385,8.062258,7.28011,6.324555,6.403124,6.403124,6.708204,8.246211,9.219544,10.198039,11.18034,11.18034,11.18034,12.369317,12.369317,11.401754,10.440307,9.219544,8.062258,7.0,3.162278,6.403124,7.615773,10.440307,12.369317,15.524175,18.027756,19.313208,21.023796,21.470911,21.095023,19.416488,17.204651,15.264338,12.529964,11.401754,11.0,11.7047,14.764823,17.204651,20.0,23.021729,24.698178,25.553865,26.41969,25.942244,-2.723368,-2.761086,-2.792822,-2.875341,-2.961739,-2.944197,-3.030935,-3.017238,-2.863293,-2.819842,-2.466852,-2.245537,-2.034444,-1.815775,-1.789465,-1.768192,-1.75065,-1.75065,-1.75065,-1.815775,-1.815775,-1.837048,-1.862253,-1.789465,-1.695151,-1.570796,-1.249046,-0.674741,-0.404892,-0.291457,-0.244979,-0.260602,-0.339293,-0.370891,-0.442374,-0.484478,-0.548549,-0.602287,-0.620249,-0.551655,-0.499347,-0.266252,0.0,0.348771,0.493941,0.620249,0.643501,0.60005,0.554307,0.533708,0.514451,0.480887
-60,9.219544,10.198039,11.045361,11.0,11.0,10.049876,9.055385,8.0,7.0,6.082763,5.830952,5.656854,6.403124,8.062258,8.944272,10.29563,11.18034,12.083046,12.083046,12.529964,11.661904,11.661904,10.29563,8.944272,8.544004,7.28011,3.0,6.403124,8.485281,10.816654,13.038405,15.811388,18.601075,19.849433,21.213203,21.931712,21.260292,20.0,17.804494,15.620499,12.727922,11.661904,11.401754,12.0,14.142136,17.464249,20.615528,22.561028,24.515301,25.495098,26.305893,26.172505,-2.922924,-2.944197,-3.050933,3.141593,3.141593,3.041924,3.030935,3.141593,3.141593,-2.976444,-2.601173,-2.356194,-2.245537,-2.089942,-2.034444,-2.077895,-2.034444,-1.997424,-1.997424,-2.070143,-2.111216,-2.111216,-2.077895,-2.034444,-1.929567,-1.849096,-1.570796,-0.896055,-0.785398,-0.588003,-0.566729,-0.605545,-0.632749,-0.714091,-0.785398,-0.817645,-0.851966,-0.927295,-0.904827,-0.876058,-0.785398,-0.54042,-0.266252,0.0,0.141897,0.231091,0.244979,0.223477,0.205395,0.197396,0.152649,0.114877
-59,7.071068,8.062258,9.0,9.055385,9.055385,8.062258,7.071068,6.082763,5.0,4.123106,4.472136,4.242641,5.830952,6.708204,7.615773,8.544004,8.544004,9.486833,9.486833,9.486833,9.486833,9.486833,8.544004,7.28011,6.082763,6.0,2.236068,6.403124,8.062258,10.77033,13.0,15.231546,17.888544,19.723083,20.248457,20.808652,20.0,18.439089,16.278821,14.21267,12.206556,11.7047,12.041595,13.152946,15.811388,17.464249,21.023796,22.847319,24.698178,25.298221,26.248809,25.96151,0.141897,0.124355,0.0,-0.110657,-0.110657,-0.124355,-0.141897,-0.165149,0.0,0.244979,0.463648,0.785398,1.030377,1.107149,1.165905,1.212026,1.212026,1.249046,1.249046,1.249046,1.249046,1.249046,1.212026,1.292497,1.405648,1.570796,2.034444,2.466852,2.622447,2.761086,2.746802,2.736701,2.677945,2.609869,2.567288,2.52693,2.498092,2.432966,2.399645,2.455863,2.530867,2.792822,3.058451,-2.988943,-2.819842,-2.729182,-2.699218,-2.736701,-2.768605,-2.819842,-2.83189,-2.868584
-59,9.848858,9.848858,10.77033,10.440307,10.440307,9.219544,8.246211,7.28011,6.324555,5.830952,5.656854,5.830952,6.324555,7.071068,8.062258,9.055385,10.0,10.049876,11.045361,11.045361,11.045361,10.049876,10.049876,8.0,7.0,6.082763,2.236068,5.385165,8.062258,10.049876,13.038405,15.033296,18.11077,20.396078,20.615528,21.18962,20.615528,19.697716,17.0,14.317821,12.369317,11.0,11.401754,12.529964,15.620499,18.384776,21.213203,23.345235,25.495098,27.018512,27.202941,26.627054,-1.152572,-1.152572,-1.19029,-1.27934,-1.27934,-1.352127,-1.325818,-1.292497,-1.249046,-1.030377,-0.785398,-0.54042,-0.321751,-0.141897,-0.124355,-0.110657,0.0,-0.099669,-0.09066,-0.09066,-0.09066,-0.099669,-0.099669,0.0,0.0,0.165149,0.463648,1.19029,1.446441,1.471128,1.494024,1.504228,1.460139,1.373401,1.325818,1.234122,1.172274,1.152572,1.080839,1.138389,1.325818,1.570796,1.837048,2.070143,2.265535,2.356194,2.356194,2.325901,2.300696,2.251318,2.199593,2.169215
-59,8.944272,9.848858,10.77033,10.440307,10.198039,9.219544,8.246211,7.28011,6.324555,5.0,5.0,5.385165,7.28011,8.062258,9.055385,10.049876,11.045361,11.045361,12.041595,12.041595,12.041595,11.045361,10.049876,9.055385,8.062258,7.071068,3.605551,8.062258,9.486833,11.401754,14.317821,16.492423,19.646883,21.18962,22.472205,21.931712,22.36068,20.59126,18.35756,15.652476,13.928388,12.165525,12.165525,13.928388,16.124515,18.601075,21.400935,23.600847,25.806976,27.45906,27.45906,27.784888,2.034444,1.989021,1.951303,1.862253,1.768192,1.789465,1.815775,1.849096,1.892547,2.214297,2.498092,2.761086,2.863293,3.017238,3.030935,3.041924,3.050933,3.050933,3.058451,3.058451,3.058451,3.050933,3.041924,3.030935,-3.017238,-2.999696,-2.55359,-2.089942,-1.892547,-1.837048,-1.78189,-1.815775,-1.82812,-1.907471,-1.934775,-1.99365,-2.034444,-2.077895,-2.083186,-2.034444,-1.93797,-1.735945,-1.405648,-1.203622,-1.05165,-0.938047,-0.91795,-0.93577,-0.950547,-0.992894,-0.992894,-1.042722
-59,8.944272,9.433981,10.0,10.0,9.219544,8.485281,7.071068,6.403124,5.0,4.472136,4.0,5.09902,6.708204,8.062258,9.433981,9.433981,10.816654,10.816654,11.661904,11.661904,11.18034,10.29563,9.433981,8.602325,7.81025,7.071068,3.162278,7.071068,9.486833,12.083046,14.317821,17.464249,19.313208,21.84033,22.561028,22.36068,22.203603,20.099751,18.11077,16.124515,13.601471,12.529964,12.041595,14.422205,16.552945,19.313208,22.472205,24.698178,26.925824,27.730849,28.635642,28.178006,1.107149,1.012197,0.927295,0.927295,0.86217,0.785398,0.785398,0.896055,0.927295,1.107149,1.570796,1.768192,2.034444,2.089942,2.129396,2.129396,2.158799,2.158799,2.111216,2.111216,2.034444,2.077895,2.129396,2.191046,2.265535,2.356194,2.819842,-2.999696,-2.819842,-2.714965,-2.709185,-2.729182,-2.770701,-2.863293,-2.918116,-2.961739,-3.006065,-3.041924,-3.030935,-3.017238,-2.843094,-2.642246,-2.41495,-2.158799,-2.007423,-1.941688,-1.934775,-1.943784,-1.951303,-2.018316,-2.003204,-2.050316
-59,9.433981,10.29563,11.18034,10.77033,10.77033,9.486833,8.544004,7.615773,6.708204,5.830952,5.0,5.385165,6.082763,7.0,9.0,10.049876,10.049876,11.045361,11.045361,11.0,11.0,10.0,9.0,8.062258,7.071068,6.324555,2.828427,6.082763,8.0,11.045361,14.035669,16.03122,19.0,20.099751,21.213203,21.377558,21.587033,19.924859,17.720045,14.56022,13.038405,11.18034,12.083046,14.21267,16.278821,19.209373,22.803509,24.839485,26.907248,27.586228,28.284271,27.658633,-1.012197,-1.063698,-1.107149,-1.19029,-1.19029,-1.249046,-1.212026,-1.165905,-1.107149,-1.030377,-0.643501,-0.380506,-0.165149,0.0,0.0,0.099669,0.099669,0.09066,0.09066,0.0,0.0,0.0,0.0,0.124355,0.141897,0.321751,0.785398,1.405648,1.570796,1.661456,1.642104,1.633215,1.570796,1.471128,1.428899,1.382575,1.337053,1.264917,1.284745,1.292497,1.494024,1.75065,1.997424,2.256526,2.399645,2.466852,2.480549,2.4417,2.408778,2.38183,2.356194,2.279423
-59,9.848858,10.77033,11.18034,11.661904,10.816654,10.0,9.433981,8.944272,7.615773,5.385165,5.0,6.082763,6.708204,8.062258,8.602325,10.0,10.630146,11.401754,11.401754,12.206556,10.816654,10.816654,10.0,8.602325,7.071068,6.403124,2.236068,6.324555,8.062258,11.401754,12.806248,16.401219,18.027756,19.723083,21.023796,21.023796,20.248457,18.973666,16.763055,13.928388,11.661904,10.630146,11.18034,13.341664,15.033296,19.0,21.023796,24.0,25.019992,27.073973,27.166155,26.305893,-1.989021,-1.951303,-2.034444,-2.111216,-2.158799,-2.214297,-2.129396,-2.034444,-1.975688,-1.951303,-1.570796,-1.405648,-1.107149,-1.05165,-0.950547,-0.927295,-0.851966,-0.909753,-0.909753,-0.96007,-0.982794,-0.982794,-0.927295,-0.950547,-0.785398,-0.674741,-0.463648,0.321751,0.519146,0.661043,0.674741,0.655696,0.588003,0.531724,0.442374,0.442374,0.35299,0.321751,0.302885,0.367174,0.54042,0.71883,1.107149,1.343997,1.504228,1.570796,1.618379,1.570796,1.530818,1.496857,1.460139,1.418147
-59,8.062258,9.433981,10.630146,9.899495,9.219544,9.219544,7.81025,6.403124,5.656854,4.472136,4.123106,5.09902,6.324555,8.062258,8.944272,10.29563,10.29563,11.18034,11.18034,11.18034,10.77033,9.848858,8.944272,8.062258,7.211103,6.403124,3.162278,7.071068,9.486833,11.7047,14.866069,16.763055,19.646883,21.587033,22.203603,22.090722,22.022716,20.0,18.0,15.033296,13.341664,12.083046,12.041595,14.422205,17.0,19.697716,22.847319,25.495098,26.832816,27.784888,28.301943,27.45906,1.05165,1.012197,0.851966,0.785398,0.708626,0.708626,0.694738,0.674741,0.785398,1.107149,1.325818,1.768192,1.892547,2.089942,2.034444,2.077895,2.077895,2.034444,2.034444,2.034444,1.951303,1.989021,2.034444,2.089942,2.158799,2.466852,2.819842,-2.999696,-2.819842,-2.792822,-2.798569,-2.838708,-2.884269,-2.907849,-3.006065,-3.050933,-3.096169,3.141593,3.141593,-3.075024,-2.914794,-2.714965,-2.41495,-2.158799,-2.060754,-1.989021,-1.975688,-2.016902,-2.034444,-2.098871,-2.129396,-2.148698
