rssi,amplitude,phase
-64,"[7.211103, 6.708204, 6.324555, 6.082763, 5.0, 4.0, 3.162278, 2.236068, 1.414214, 1.414214, 2.828427, 3.605551, 4.472136, 5.385165, 5.830952, 6.403124, 6.403124, 6.403124, 5.830952, 5.385165, 5.0, 5.09902, 5.830952, 6.403124, 6.403124, 6.403124, 2.828427, 4.242641, 3.162278, 2.236068, 4.472136, 6.708204, 9.486833, 11.7047, 12.649111, 13.928388, 13.928388, 12.649111, 11.401754, 9.055385, 7.071068, 6.403124, 8.246211, 12.041595, 15.297059, 19.416488, 21.587033, 23.537205, 24.33105, 24.186773, 23.086793, 20.0]","[0.588003, 0.463648, 0.321751, 0.165149, 0.0, 0.0, -0.321751, -0.463648, -0.785398, -2.356194, -2.356194, -2.55359, -2.677945, -2.761086, -2.601173, -2.466852, -2.466852, -2.245537, -2.111216, -1.951303, -1.570796, -1.373401, -1.030377, -0.896055, -0.674741, -0.674741, -0.785398, -0.785398, -1.249046, -2.034444, -2.677945, -2.677945, -2.819842, -2.792822, -2.819842, -2.774419, -2.774419, -2.819842, -2.875341, -3.030935, 2.999696, 2.245537, 1.815775, 1.487655, 1.373401, 1.3633, 1.337053, 1.356736, 1.405648, 1.446441, 1.484058, 1.570796]"
-65,"[6.324555, 6.082763, 6.0, 5.09902, 5.385165, 3.605551, 2.828427, 2.236068, 1.0, 1.414214, 2.236068, 4.123106, 5.09902, 6.082763, 6.082763, 7.28011, 7.28011, 6.708204, 6.403124, 5.656854, 4.472136, 5.09902, 5.09902, 4.472136, 5.0, 5.0, 2.236068, 3.605551, 3.162278, 2.236068, 3.605551, 5.09902, 8.062258, 10.049876, 11.045361, 12.041595, 12.041595, 11.045361, 9.0, 8.246211, 6.403124, 6.324555, 9.0, 12.369317, 15.811388, 18.384776, 20.615528, 22.472205, 23.4094, 22.135944, 20.615528, 17.262677]","[0.321751, 0.165149, 0.0, -0.197396, -0.380506, -0.588003, -0.785398, -1.107149, -1.570796, -2.356194, -2.677945, -2.896614, -2.944197, -2.976444, -2.976444, -2.863293, -2.863293, -2.677945, -2.466852, -2.356194, -2.034444, -1.768192, -1.373401, -1.107149, -0.927295, -0.927295, -1.107149, -0.982794, -1.249046, -2.034444, -2.55359, -2.944197, -3.017238, -3.041924, -3.050933, -3.058451, -3.058451, -3.050933, 3.141593, 2.896614, 2.466852, 1.892547, 1.570796, 1.325818, 1.249046, 1.180189, 1.172274, 1.206817, 1.222025, 1.249046, 1.325818, 1.396124]"
-64,"[7.81025, 7.211103, 6.708204, 6.324555, 6.082763, 5.0, 4.0, 3.0, 1.414214, 1.0, 1.414214, 3.605551, 4.472136, 4.472136, 5.0, 5.656854, 5.656854, 5.830952, 5.385165, 5.09902, 5.09902, 5.385165, 6.403124, 6.403124, 7.211103, 6.708204, 3.605551, 5.0, 4.242641, 3.0, 3.605551, 5.385165, 7.615773, 9.486833, 11.401754, 12.369317, 12.369317, 11.401754, 10.198039, 8.0, 6.324555, 5.830952, 8.062258, 11.7047, 15.652476, 19.235384, 21.470911, 23.706539, 24.166092, 23.769729, 22.135944, 19.646883]","[-0.876058, -0.982794, -1.107149, -1.249046, -1.405648, -1.570796, -1.570796, -1.570796, -2.356194, 3.141593, 2.356194, 2.158799, 2.034444, 2.034444, 2.214297, 2.356194, 2.356194, 2.601173, 2.761086, 2.944197, -2.944197, -2.761086, -2.466852, -2.245537, -2.158799, -2.034444, -2.158799, -2.214297, -2.356194, 3.141593, 2.55359, 1.951303, 1.975688, 1.892547, 1.837048, 1.815775, 1.815775, 1.837048, 1.768192, 1.570796, 1.249046, 0.54042, -0.124355, -0.348771, -0.463648, -0.486899, -0.484478, -0.482513, -0.426627, -0.388319, -0.321751, -0.257324]"
-64,"[7.211103, 7.211103, 7.071068, 6.403124, 5.830952, 4.472136, 3.162278, 2.236068, 1.0, 1.0, 2.0, 3.162278, 4.472136, 5.385165, 5.830952, 6.403124, 5.656854, 5.0, 4.472136, 4.123106, 4.123106, 3.605551, 5.0, 5.385165, 5.385165, 6.082763, 2.0, 3.162278, 2.236068, 2.0, 3.605551, 5.830952, 8.944272, 11.18034, 12.083046, 13.416408, 13.416408, 12.529964, 10.77033, 9.219544, 7.071068, 7.211103, 8.544004, 13.038405, 16.0, 20.024984, 23.021729, 25.019992, 25.0, 25.019992, 23.086793, 20.223748]","[2.55359, 2.55359, 2.356194, 2.245537, 2.111216, 2.034444, 1.892547, 2.034444, 3.141593, -1.570796, -1.570796, -1.249046, -1.107149, -1.19029, -1.030377, -0.896055, -0.785398, -0.643501, -0.463648, -0.244979, 0.244979, 0.588003, 0.927295, 1.19029, 1.19029, 1.405648, 1.570796, 1.249046, 1.107149, 0.0, -0.982794, -1.030377, -1.107149, -1.107149, -1.144169, -1.107149, -1.107149, -1.07145, -1.19029, -1.352127, -1.712693, -2.158799, -2.782822, -3.064821, 3.141593, 3.091634, 3.098142, 3.101614, 3.141593, -3.101614, -3.054854, -2.992703]"
-65,"[7.81025, 7.81025, 7.211103, 6.708204, 5.385165, 4.123106, 4.123106, 2.0, 1.0, 0.0, 1.414214, 2.236068, 3.162278, 4.472136, 5.0, 5.656854, 5.656854, 5.0, 4.123106, 4.0, 4.123106, 4.242641, 5.0, 5.385165, 6.082763, 6.082763, 3.0, 4.123106, 3.162278, 1.414214, 2.236068, 4.242641, 7.211103, 8.062258, 10.29563, 10.816654, 10.816654, 10.29563, 8.944272, 7.071068, 6.082763, 6.403124, 9.486833, 12.041595, 16.03122, 19.0, 22.0, 24.0, 24.020824, 24.083189, 22.203603, 19.235384]","[-2.265535, -2.446854, -2.55359, -2.677945, -2.761086, -2.896614, -2.896614, 3.141593, 3.141593, 0.0, 0.785398, 0.463648, 0.321751, 0.463648, 0.643501, 0.785398, 0.785398, 0.927295, 1.325818, 1.570796, 1.815775, 2.356194, 2.498092, 2.761086, 2.976444, 2.976444, 3.141593, 2.896614, 2.819842, 2.356194, 1.107149, 0.785398, 0.588003, 0.519146, 0.507099, 0.588003, 0.588003, 0.507099, 0.463648, 0.141897, -0.165149, -0.896055, -1.249046, -1.487655, -1.508378, -1.570796, -1.570796, -1.570796, -1.529154, -1.487655, -1.435269, -1.414194]"
-64,"[7.071068, 7.28011, 6.708204, 5.830952, 5.0, 4.242641, 2.828427, 1.414214, 0.0, 1.414214, 2.828427, 3.605551, 5.0, 5.0, 5.830952, 6.324555, 6.324555, 6.082763, 5.0, 5.09902, 5.0, 5.0, 5.385165, 6.082763, 6.0, 6.082763, 2.0, 3.0, 2.236068, 2.0, 4.472136, 6.403124, 8.602325, 10.816654, 12.206556, 13.601471, 14.422205, 13.601471, 11.401754, 9.219544, 7.615773, 7.071068, 8.485281, 11.661904, 15.652476, 18.788294, 21.931712, 23.769729, 24.166092, 24.596748, 23.323808, 19.416488]","[1.428899, 1.292497, 1.107149, 1.030377, 0.927295, 0.785398, 0.785398, 0.785398, 0.0, -2.356194, -2.356194, -2.158799, -2.214297, -2.214297, -2.111216, -1.892547, -1.892547, -1.735945, -1.570796, -1.373401, -0.927295, -0.643501, -0.380506, -0.165149, 0.0, 0.165149, 0.0, 0.0, -0.463648, -1.570796, -2.034444, -2.245537, -2.191046, -2.158799, -2.181522, -2.199593, -2.158799, -2.199593, -2.231839, -2.432966, -2.736701, 2.999696, 2.356194, 2.111216, 2.034444, 2.010639, 1.99365, 1.959115, 1.997424, 2.034444, 2.111216, 2.173084]"
-64,"[8.062258, 7.615773, 7.28011, 7.071068, 6.0, 5.0, 4.0, 3.0, 1.0, 0.0, 1.414214, 3.0, 4.0, 4.0, 5.09902, 5.09902, 5.385165, 5.0, 5.0, 4.123106, 4.0, 4.472136, 5.0, 5.656854, 6.403124, 6.403124, 3.162278, 3.605551, 2.828427, 2.0, 3.162278, 5.09902, 7.0, 10.0, 12.041595, 13.038405, 13.038405, 12.0, 10.0, 8.246211, 7.211103, 6.324555, 9.055385, 13.0, 15.652476, 19.235384, 22.825424, 24.186773, 25.942244, 25.079872, 23.769729, 20.248457]","[-2.622447, -2.736701, -2.863293, -2.999696, 3.141593, 3.141593, 3.141593, 3.141593, 3.141593, 0.0, -0.785398, 0.0, 0.0, 0.0, 0.197396, 0.197396, 0.380506, 0.643501, 0.927295, 1.325818, 1.570796, 2.034444, 2.214297, 2.356194, 2.466852, 2.466852, 2.819842, 2.55359, 2.356194, 1.570796, 0.321751, 0.197396, 0.0, 0.0, 0.083141, 0.076772, 0.076772, 0.0, 0.0, -0.244979, -0.588003, -1.249046, -1.681454, -1.965587, -2.034444, -2.057696, -2.07364, -2.089942, -2.051684, -1.980924, -1.959115, -1.923787]"
-64,"[7.615773, 7.211103, 7.071068, 6.403124, 5.830952, 4.472136, 3.162278, 2.236068, 1.0, 1.0, 2.236068, 3.605551, 3.605551, 5.0, 5.830952, 6.324555, 6.082763, 6.0, 5.09902, 5.385165, 5.656854, 5.830952, 6.324555, 7.071068, 7.0, 7.0, 3.0, 5.09902, 4.123106, 2.828427, 4.0, 6.324555, 8.062258, 10.816654, 12.206556, 13.038405, 13.892444, 13.038405, 10.816654, 8.485281, 6.708204, 6.082763, 7.81025, 10.816654, 15.231546, 18.384776, 21.540659, 23.769729, 24.166092, 23.706539, 22.825424, 19.416488]","[-0.404892, -0.588003, -0.785398, -0.896055, -1.030377, -1.107149, -1.249046, -1.107149, -1.570796, 3.141593, 2.677945, 2.55359, 2.55359, 2.498092, 2.601173, 2.819842, 2.976444, 3.141593, -2.944197, -2.761086, -2.356194, -2.111216, -1.892547, -1.712693, -1.570796, -1.570796, -1.570796, -1.768192, -1.815775, -2.356194, 3.141593, 2.819842, 2.622447, 2.55359, 2.530867, 2.574863, 2.613518, 2.574863, 2.55359, 2.356194, 2.034444, 1.405648, 0.876058, 0.588003, 0.404892, 0.390607, 0.380506, 0.388319, 0.426627, 0.482513, 0.502843, 0.602287]"
-64,"[7.071068, 7.211103, 6.708204, 6.324555, 5.09902, 4.123106, 3.0, 2.0, 1.0, 1.0, 2.0, 3.162278, 4.123106, 5.385165, 5.385165, 5.830952, 6.403124, 5.656854, 5.0, 4.123106, 4.0, 3.605551, 4.242641, 4.472136, 5.385165, 5.385165, 2.0, 3.162278, 1.414214, 2.236068, 3.605551, 5.830952, 8.944272, 10.77033, 12.083046, 13.416408, 13.416408, 12.083046, 10.77033, 9.219544, 7.071068, 7.81025, 9.848858, 13.152946, 16.03122, 20.024984, 23.021729, 25.019992, 25.079872, 25.179357, 23.345235, 20.615528]","[2.356194, 2.158799, 2.034444, 1.892547, 1.768192, 1.815775, 1.570796, 1.570796, 1.570796, -1.570796, -1.570796, -1.249046, -1.325818, -1.19029, -1.19029, -1.030377, -0.896055, -0.785398, -0.643501, -0.244979, 0.0, 0.588003, 0.785398, 1.107149, 1.19029, 1.19029, 1.570796, 1.249046, 0.785398, -0.463648, -0.982794, -1.030377, -1.107149, -1.19029, -1.144169, -1.107149, -1.107149, -1.144169, -1.19029, -1.352127, -1.712693, -2.265535, -2.723368, -2.988943, -3.079174, -3.091634, -3.098142, -3.101614, -3.061763, -3.022164, -2.969402, -2.896614]"
-64,"[7.615773, 7.28011, 6.082763, 5.0, 5.09902, 4.123106, 3.162278, 1.414214, 0.0, 1.0, 2.0, 4.123106, 5.09902, 5.0, 6.0, 6.082763, 6.082763, 5.385165, 4.472136, 4.242641, 4.472136, 4.123106, 4.123106, 5.385165, 5.830952, 5.0, 1.414214, 3.162278, 2.0, 2.236068, 4.0, 7.071068, 9.055385, 11.18034, 12.165525, 13.152946, 13.152946, 13.152946, 11.401754, 9.848858, 7.071068, 7.28011, 9.219544, 12.529964, 15.811388, 19.209373, 22.803509, 24.207437, 25.0, 25.238859, 23.323808, 20.124612]","[1.975688, 1.849096, 1.735945, 1.570796, 1.373401, 1.325818, 1.249046, 0.785398, 0.0, -1.570796, -1.570796, -1.815775, -1.768192, -1.570796, -1.570796, -1.405648, -1.405648, -1.19029, -1.107149, -0.785398, -0.463648, -0.244979, 0.244979, 0.380506, 0.54042, 0.643501, 0.785398, 0.321751, 0.0, -1.107149, -1.570796, -1.712693, -1.681454, -1.75065, -1.735945, -1.723446, -1.723446, -1.723446, -1.837048, -1.989021, -2.356194, -2.863293, 2.922924, 2.642246, 2.536048, 2.466852, 2.480549, 2.473303, 2.498092, 2.55359, 2.601173, 2.677945]"
