type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,0,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4247299,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-4,1,-14,5,-15,6,-17,7,-18,8,-18,8,-18,8,-17,7,-15,7,-12,6,-10,4,-6,3,-3,3,1,2,5,1,8,0,11,0,14,-1,15,-1,16,-1,17,-2,17,-2,16,-2,15,-3,13,-2,11,-2,10,-2,3,-1,3,-2,1,-1,-1,0,-4,1,-6,2,-8,3,-9,5,-11,6,-12,7,-13,8,-14,8,-14,7,-13,6,-12,5,-10,4,-8,2,-6,0,-3,-2,0,-4,2,-6,5,-8,8,-10,10,-12,13,-13,14,-14,15,-14,4,-4,0,0,0,0,0,0,0,0]"
CSI_DATA,2,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4257782,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-5,0,-18,1,-20,2,-23,3,-24,3,-24,4,-23,4,-21,3,-19,2,-16,2,-13,2,-9,2,-4,2,1,2,5,3,10,3,14,4,16,4,18,4,19,4,20,4,20,4,19,3,18,2,16,2,14,2,11,1,4,0,4,0,2,-1,-2,-1,-5,0,-8,0,-10,1,-13,2,-15,3,-17,4,-18,4,-19,4,-18,4,-17,3,-15,2,-13,1,-10,0,-7,-2,-3,-3,1,-5,5,-6,9,-7,13,-8,17,-10,20,-10,22,-10,23,-10,6,-3,0,0,0,0,0,0,0,0]"
CSI_DATA,4,60:83:e7:28:84:44,-60,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4264745,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,3,-1,14,-5,16,-5,19,-7,20,-7,20,-8,20,-8,19,-7,17,-7,14,-6,11,-5,7,-4,3,-3,-2,-2,-6,-1,-10,0,-14,0,-17,1,-19,1,-21,2,-21,2,-21,2,-20,2,-19,3,-17,2,-15,2,-12,2,-4,0,-5,0,-2,-1,1,-2,3,-3,6,-5,8,-7,10,-8,11,-10,12,-11,12,-12,12,-12,12,-12,11,-11,10,-9,9,-8,7,-5,5,-3,3,0,1,3,-1,7,-3,10,-5,13,-7,16,-8,18,-10,20,-11,21,-3,5,0,0,0,0,0,0,0,0]"
CSI_DATA,6,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4271055,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-3,-4,-10,-16,-11,-18,-13,-20,-13,-21,-13,-21,-13,-21,-12,-19,-11,-17,-9,-15,-8,-11,-6,-7,-5,-3,-4,2,-3,6,-2,11,-1,14,0,17,0,19,0,20,1,21,1,21,1,20,2,18,2,16,1,14,1,12,0,4,1,5,0,2,0,-1,-1,-4,-3,-7,-4,-10,-5,-13,-6,-15,-7,-16,-8,-17,-8,-18,-8,-18,-7,-17,-5,-15,-4,-13,-2,-10,0,-7,2,-4,3,0,6,4,7,9,9,12,10,16,11,19,11,22,11,23,3,6,0,0,0,0,0,0,0,0]"
CSI_DATA,8,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4277469,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-4,2,-14,10,-15,11,-17,13,-18,14,-17,14,-17,14,-16,13,-14,11,-12,10,-9,8,-6,6,-2,4,2,2,6,0,10,-1,13,-3,16,-4,17,-5,18,-5,19,-6,19,-6,18,-6,17,-6,15,-5,13,-4,11,-4,3,-2,3,-3,1,-2,-2,-1,-4,1,-7,3,-9,4,-11,6,-12,7,-13,8,-14,9,-15,9,-15,9,-14,8,-13,7,-11,5,-9,3,-6,1,-3,-2,0,-4,3,-7,6,-9,9,-11,12,-13,14,-15,16,-15,18,-16,4,-4,0,0,0,0,0,0,0,0]"
CSI_DATA,10,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4286993,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,1,3,4,15,5,17,6,19,7,20,7,21,7,20,7,19,6,17,5,14,4,11,3,7,3,3,2,-2,2,-6,1,-10,1,-14,1,-16,1,-18,1,-20,1,-21,0,-21,0,-20,-1,-19,-1,-17,-1,-15,-1,-13,-1,-5,-1,-5,-1,-3,0,0,1,3,2,6,3,9,3,11,4,13,5,14,6,15,6,16,5,16,4,15,3,13,2,11,1,9,-1,6,-3,2,-4,-1,-6,-5,-8,-8,-9,-11,-11,-15,-12,-17,-12,-19,-12,-21,-4,-6,0,0,0,0,0,0,0,0]"
CSI_DATA,12,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4297576,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-1,-4,-1,-17,-2,-19,-2,-21,-2,-23,-2,-23,-2,-23,-2,-21,-2,-19,-1,-16,-2,-13,-2,-9,-3,-4,-3,0,-4,4,-6,8,-7,12,-7,15,-8,16,-8,18,-8,19,-8,19,-7,18,-7,17,-6,15,-6,13,-5,11,-2,4,-1,4,-1,2,0,-2,0,-4,0,-7,0,-10,0,-13,0,-15,0,-16,0,-17,0,-18,0,-17,1,-16,1,-14,1,-12,2,-9,2,-6,2,-2,2,2,3,5,3,9,3,13,3,16,3,19,3,21,3,22,0,5,0,0,0,0,0,0,0,0]"
CSI_DATA,14,60:83:e7:28:84:44,-60,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4306663,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,2,2,12,10,14,12,16,13,17,14,18,14,17,13,16,12,14,11,12,9,10,7,7,4,4,1,1,-3,-1,-7,-4,-10,-6,-14,-7,-16,-8,-18,-9,-19,-9,-19,-9,-19,-9,-19,-8,-17,-8,-16,-7,-14,-6,-12,-3,-4,-3,-4,-2,-2,0,0,2,3,4,5,6,7,7,9,9,10,10,11,11,12,11,12,10,12,9,11,8,10,6,9,4,7,2,5,-1,2,-4,0,-7,-2,-10,-5,-13,-7,-15,-10,-17,-12,-18,-13,-18,-14,-5,-4,0,0,0,0,0,0,0,0]"
CSI_DATA,16,60:83:e7:28:84:44,-61,11,1,0,1,0,1,0,0,0,0,-96,0,2,1,4326480,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,0,-4,0,-17,-1,-19,-1,-22,-1,-23,-1,-24,-1,-23,-1,-22,-1,-19,-1,-17,-1,-13,-2,-9,-2,-5,-3,-1,-4,4,-5,8,-6,12,-7,15,-7,16,-8,18,-8,18,-8,18,-7,18,-7,17,-6,15,-6,13,-5,11,-2,4,-2,4,-1,2,-1,-1,0,-4,-1,-7,-1,-10,-1,-12,-1,-14,-2,-15,-2,-16,-2,-17,-1,-16,-1,-15,-1,-13,0,-11,1,-9,1,-6,2,-2,3,1,4,4,5,8,5,11,6,14,7,17,7,19,7,20,1,5,0,0,0,0,0,0,0,0]"
CSI_DATA,18,60:83:e7:28:84:44,-61,11,0,0,0,0,0,0,0,0,0,-96,0,2,1,4337452,0,83,0,128,1,"[83,-80,4,0,0,0,0,0,0,0,-1,-4,-1,-17,-1,-19,-2,-21,-2,-23,-2,-23,-2,-22,-2,-21,-2,-18,-2,-16,-1,-13,-2,-9,-2,-5,-3,0,-4,4,-5,8,-6,11,-7,14,-7,15,-8,17,-8,18,-7,18,-7,17,-6,15,-6,14,-5,12,-4,10,-2,3,-2,4,-1,2,0,-1,0,-4,-1,-7,-1,-9,-1,-11,-1,-13,-2,-14,-2,-15,-2,-16,-2,-15,-1,-14,-1,-13,0,-11,1,-8,1,-6,2,-2,3,1,4,5,4,8,5,12,6,15,6,17,6,19,6,21,1,5,0,0,0,0,0,0,0,0]"
