Filename,Sample_Count,Total_Lines
"0,0.csv",803,804
"0,1.csv",1099,1100
"0,2.csv",1151,1152
"0,3.csv",894,895
"0,4.csv",953,954
"0,5.csv",1120,1121
"0,6.csv",1091,1092
"1,0.csv",1250,1251
"1,1.csv",939,940
"1,4.csv",976,977
"1,5.csv",1040,1041
"2,0.csv",1164,1165
"2,1.csv",922,923
"2,2.csv",983,984
"2,3.csv",915,916
"2,4.csv",851,852
"2,5.csv",930,931
"3,0.csv",1304,1305
"3,1.csv",927,928
"3,2.csv",909,910
"3,3.csv",940,941
"3,4.csv",917,918
"3,5.csv",975,976
"4,0.csv",1159,1160
"4,1.csv",995,996
"4,4.csv",931,932
"4,5.csv",1161,1162
"5,0.csv",917,918
"5,1.csv",934,935
"5,2.csv",979,980
"5,3.csv",953,954
"5,4.csv",984,985
"6,3.csv",1203,1204
"6,4.csv",969,970
