experiment,model,sample_size,mean_error_m,std_error_m,median_error_m,accuracy_1m_pct,accuracy_50cm_pct,training_time_s,architecture
Comprehensive 5 CNNs,Comprehensive Basic CNN,750,1.367,0.534,1.175,46.8,20.9,345.0,Optimized Basic CNN with better preprocessing
Comprehensive 5 CNNs,Comprehensive Hybrid CNN + RSSI,750,1.378,0.541,1.183,46.1,22.4,412.0,Hybrid with optimized RSSI processing
Comprehensive 5 CNNs,Comprehensive Basic CNN,500,1.389,0.556,1.192,45.1,19.8,234.0,Optimized Basic CNN with better preprocessing
Comprehensive 5 CNNs,Comprehensive Multi-Scale CNN,750,1.401,0.558,1.202,44.9,19.7,378.0,Multi-scale with optimized preprocessing
Comprehensive 5 CNNs,Comprehensive Hybrid CNN + RSSI,500,1.412,0.567,1.211,44.3,21.1,298.0,Hybrid with optimized RSSI processing
Comprehensive 5 CNNs,Comprehensive Basic CNN,250,1.423,0.587,1.221,43.2,18.7,145.0,Optimized Basic CNN with better preprocessing
Comprehensive 5 CNNs,Comprehensive Attention CNN,750,1.434,0.576,1.229,43.1,18.3,456.0,Attention CNN with optimized preprocessing
Comprehensive 5 CNNs,Comprehensive Multi-Scale CNN,500,1.445,0.589,1.238,42.7,18.6,267.0,Multi-scale with optimized preprocessing
Comprehensive 5 CNNs,Comprehensive Multi-Scale CNN,250,1.456,0.612,1.248,41.8,17.9,167.0,Multi-scale with optimized preprocessing
Comprehensive 5 CNNs,Comprehensive Residual CNN,750,1.456,0.591,1.248,42.3,17.1,498.0,Residual CNN with optimized preprocessing
Comprehensive 5 CNNs,Comprehensive Attention CNN,500,1.467,0.601,1.258,41.2,17.4,334.0,Attention CNN with optimized preprocessing
Comprehensive 5 CNNs,Comprehensive Attention CNN,250,1.489,0.634,1.278,40.1,16.8,189.0,Attention CNN with optimized preprocessing
Comprehensive 5 CNNs,Comprehensive Residual CNN,500,1.498,0.623,1.284,39.8,16.1,389.0,Residual CNN with optimized preprocessing
Comprehensive 5 CNNs,Comprehensive Hybrid CNN + RSSI,250,1.512,0.643,1.297,38.9,19.2,201.0,Hybrid with optimized RSSI processing
Comprehensive 5 CNNs,Comprehensive Residual CNN,250,1.534,0.658,1.314,37.6,15.4,223.0,Residual CNN with optimized preprocessing
Amplitude-Only 5 CNNs,Amplitude Hybrid CNN + RSSI,250,1.561,0.644,1.345,26.1,16.6,97.0,Hybrid CNN with 6 RSSI features
Amplitude-Only 5 CNNs,Amplitude Hybrid CNN + RSSI,750,1.583,0.661,1.362,25.1,16.3,289.0,Hybrid CNN with 6 RSSI features
Amplitude-Only 5 CNNs,Amplitude Basic CNN,750,1.634,0.698,1.401,24.6,15.2,234.0,Basic 1D CNN with pooling
Amplitude-Only 5 CNNs,Amplitude Attention CNN,250,1.642,0.721,1.412,24.8,14.2,112.0,Multi-head attention mechanism
Amplitude-Only 5 CNNs,Amplitude Basic CNN,500,1.669,0.695,1.434,24.9,14.8,156.0,Basic 1D CNN with pooling
Advanced Ensemble,Weighted Ensemble,750,1.674,0.909,1.437,27.6,17.2,3861.0,Ensemble of 3 CNNs with smart weighting
Amplitude-Only 5 CNNs,Amplitude Attention CNN,750,1.678,0.723,1.439,23.8,14.7,345.0,Multi-head attention mechanism
Amplitude-Only 5 CNNs,Amplitude Hybrid CNN + RSSI,500,1.687,0.712,1.451,24.3,15.1,198.0,Hybrid CNN with 6 RSSI features
Amplitude-Only 5 CNNs,Amplitude Basic CNN,250,1.689,0.753,1.456,23.1,13.8,89.0,Basic 1D CNN with pooling
Amplitude-Only 5 CNNs,Amplitude Multi-Scale CNN,750,1.712,0.742,1.471,23.2,13.1,278.0,Multiple parallel conv paths
Advanced Ensemble,Average Ensemble,750,1.716,0.886,1.472,31.0,15.6,3861.0,Simple averaging of 3 CNNs
Amplitude-Only 5 CNNs,Amplitude Attention CNN,500,1.721,0.734,1.478,23.6,13.9,234.0,Multi-head attention mechanism
Amplitude-Only 5 CNNs,Amplitude Residual CNN,250,1.724,0.782,1.489,22.4,12.9,134.0,ResNet-inspired with skip connections
Amplitude-Only 5 CNNs,Amplitude Residual CNN,750,1.745,0.768,1.498,22.7,12.6,389.0,ResNet-inspired with skip connections
Amplitude-Only 5 CNNs,Amplitude Multi-Scale CNN,500,1.756,0.765,1.512,22.8,12.4,187.0,Multiple parallel conv paths
Amplitude-Only 5 CNNs,Amplitude Multi-Scale CNN,250,1.789,0.823,1.534,21.3,11.7,98.0,Multiple parallel conv paths
Amplitude-Only 5 CNNs,Amplitude Residual CNN,500,1.798,0.789,1.548,21.9,11.8,267.0,ResNet-inspired with skip connections
Advanced Ensemble,Weighted Ensemble,250,1.824,0.886,1.567,18.7,17.3,1240.0,Ensemble of 3 CNNs with smart weighting
Advanced Ensemble,Average Ensemble,250,1.838,0.892,1.578,19.5,17.5,1240.0,Simple averaging of 3 CNNs
Advanced Ensemble,Median Ensemble,750,1.855,0.932,1.592,24.8,0.7,3861.0,Median prediction of 3 CNNs
Advanced Ensemble,Median Ensemble,250,1.886,0.921,1.619,18.6,5.4,1240.0,Median prediction of 3 CNNs
Advanced Ensemble,Weighted Ensemble,500,2.057,1.042,1.764,18.7,17.9,25858.0,Ensemble of 3 CNNs with smart weighting
Advanced Ensemble,Average Ensemble,500,2.061,1.045,1.768,18.7,16.6,25858.0,Simple averaging of 3 CNNs
Advanced Ensemble,Median Ensemble,500,2.093,1.061,1.796,18.7,2.4,25858.0,Median prediction of 3 CNNs
