experiment,model,sample_size,mean_error_m,std_error_m,median_error_m,accuracy_1m_pct,accuracy_50cm_pct,training_time_s,architecture
Amplitude-Only 5 CNNs,Amplitude Hybrid CNN + RSSI,250,1.561,0.644,1.423,26.1,16.6,97.0,Hybrid CNN with 6 RSSI features
Amplitude-Only 5 CNNs,Amplitude Hybrid CNN + RSSI,750,1.583,0.661,1.445,25.1,16.3,289.0,Hybrid CNN with 6 RSSI features
Amplitude-Only 5 CNNs,Amplitude Basic CNN,750,1.634,0.698,1.492,24.6,15.2,234.0,Basic 1D CNN with pooling
Amplitude-Only 5 CNNs,Amplitude Attention CNN,250,1.642,0.721,1.498,24.8,14.2,112.0,Multi-head attention mechanism
Amplitude-Only 5 CNNs,Amplitude Basic CNN,500,1.669,0.695,1.521,24.9,14.8,156.0,Basic 1D CNN with pooling
Advanced Ensemble,Weighted Ensemble (Deep+Hybrid+MultiScale),750,1.674,0.909,1.534,27.6,17.2,3861.0,Ensemble of 3 CNNs with smart weighting
Amplitude-Only 5 CNNs,Amplitude Attention CNN,750,1.678,0.723,1.534,23.8,14.7,345.0,Multi-head attention mechanism
Amplitude-Only 5 CNNs,Amplitude Hybrid CNN + RSSI,500,1.687,0.712,1.542,24.3,15.1,198.0,Hybrid CNN with 6 RSSI features
Amplitude-Only 5 CNNs,Amplitude Basic CNN,250,1.689,0.753,1.542,23.1,13.8,89.0,Basic 1D CNN with pooling
Amplitude+Phase 5 CNNs,Hybrid CNN + RSSI (with Phase),250,1.698,0.723,1.554,23.8,15.2,145.0,Hybrid CNN with amplitude+phase+RSSI
Amplitude-Only 5 CNNs,Amplitude Multi-Scale CNN,750,1.712,0.742,1.567,23.2,13.1,278.0,Multiple parallel conv paths
Advanced Ensemble,Average Ensemble (Deep+Hybrid+MultiScale),750,1.716,0.886,1.572,31.0,15.6,3861.0,Simple averaging of 3 CNNs
Amplitude-Only 5 CNNs,Amplitude Attention CNN,500,1.721,0.734,1.576,23.6,13.9,234.0,Multi-head attention mechanism
Amplitude+Phase 5 CNNs,Hybrid CNN + RSSI (with Phase),500,1.721,0.734,1.576,23.1,14.2,234.0,Hybrid CNN with amplitude+phase+RSSI
Advanced Ensemble Components,Hybrid CNN + Advanced RSSI (Individual),750,1.721,0.823,1.578,21.8,16.9,1965.0,Hybrid CNN with 6 advanced RSSI features
Amplitude-Only 5 CNNs,Amplitude Residual CNN,250,1.724,0.782,1.578,22.4,12.9,134.0,ResNet-inspired with skip connections
Amplitude+Phase 5 CNNs,Basic CNN (with Phase),500,1.745,0.756,1.598,22.1,13.9,189.0,Basic CNN with amplitude+phase
Amplitude-Only 5 CNNs,Amplitude Residual CNN,750,1.745,0.768,1.598,22.7,12.6,389.0,ResNet-inspired with skip connections
Amplitude+Phase 5 CNNs,Attention CNN (with Phase),250,1.756,0.778,1.612,22.3,13.9,156.0,Attention CNN with amplitude+phase
