method,features,dataset_size,n_features,mean_error_m,median_error_m,std_error_m,min_error_m,max_error_m,accuracy_50cm,accuracy_1m,accuracy_2m,accuracy_3m
kNN_k1,raw,250,105,2.549403043115402,2.5495097567963922,0.8867558180264842,0.7071067811865476,4.301162633521314,0.0,1.8709327548806942,32.15835140997831,76.27440347071584
kNN_k3,raw,250,105,2.4058406055925796,2.5495097567963922,0.72918522152236,0.5237079793682257,4.301162633521314,0.0,1.9793926247288502,31.724511930585685,84.19197396963123
kNN_k5,raw,250,105,2.401240186620606,2.5495097567963922,0.6806317543732058,0.4167510720801909,4.301162633521313,0.08134490238611713,1.2744034707158352,27.738611713665946,85.38503253796095
kNN_k7,raw,250,105,2.402521285692184,2.5495097567963922,0.6575941003462211,0.6653907698704777,4.301162633521314,0.0,1.4099783080260302,26.545553145336225,86.14425162689805
kNN_k10,raw,250,105,2.4006224464524917,2.537822415807716,0.6379453158768883,0.4020276439323443,4.301162633521314,0.027114967462039046,1.0032537960954446,22.749457700650762,86.3882863340564
kNN_k1,physics,250,16,2.390238393508139,2.5495097567963922,1.1944344495633705,0.7071067811865472,4.949747468305833,0.0,20.336225596529285,34.924078091106296,79.60954446854663
kNN_k3,physics,250,16,2.2660692275987966,2.5495097567963922,1.2585883325726621,0.23082770504917632,4.301162633521314,0.027114967462039046,27.955531453362255,40.808026030368765,79.71800433839479
kNN_k5,physics,250,16,2.2517209913362946,2.5495097567963922,1.2609486723099008,0.5005783718985645,4.324595887316511,0.0,20.47180043383948,40.699566160520604,79.69088937093277
kNN_k7,physics,250,16,2.2490574394320215,2.5495097567963922,1.2467308251787665,0.5000234838257933,4.3781231988087965,0.0,20.715835140997832,40.753796095444685,79.69088937093277
kNN_k10,physics,250,16,2.2310827308325667,2.5495097567963922,1.2089475574446886,0.5000000404214875,4.516510461350689,0.0,20.553145336225597,40.835140997830806,79.79934924078091
kNN_k1,combined,250,121,2.4633658565590886,2.5495097567963922,0.9720307819820757,0.7071067811865472,4.301162633521314,0.0,6.832971800433839,35.113882863340564,78.14533622559652
kNN_k3,combined,250,121,2.296277717964536,2.5495097567963922,0.7219930678954372,0.5202409654221447,4.301162633521314,0.0,5.151843817787419,32.80911062906725,87.31019522776573
kNN_k5,combined,250,121,2.27297316999657,2.5495097567963922,0.6661768552687867,0.3162336284232,3.8078865529319557,0.05422993492407809,5.016268980477223,30.50433839479393,91.07917570498915
kNN_k7,combined,250,121,2.262417528034087,2.5495097567963922,0.6372098051696182,0.2344688762835222,3.874145958676635,0.08134490238611713,4.745119305856833,29.962039045553148,92.13665943600867
kNN_k10,combined,250,121,2.2517416764914047,2.5198921006964268,0.6172138997147021,0.31622777145050013,3.8078865529319557,0.10845986984815618,3.9859002169197395,28.14533622559653,93.35683297180043
RandomForest_config1,raw,250,105,2.380581166722241,2.337413052613987,0.8678306608901701,0.19924858845171273,4.329029914426557,2.1691973969631237,5.504338394793926,26.46420824295011,68.62798264642083
RandomForest_config2,raw,250,105,2.354964230391302,2.340759863998711,0.8033536689960958,0.38600518131237566,4.358812911791466,1.2472885032537961,5.504338394793926,26.545553145336225,68.84490238611714
RandomForest_config3,raw,250,105,2.34080943375221,2.3174458626025043,0.7975774313925229,0.43386633886486276,4.304342923141696,0.27114967462039047,5.504338394793926,26.626898047722342,69.19739696312365
RandomForest_config1,physics,250,16,2.5001584746161356,1.7788198334851115,1.6189872487158061,0.17464249196572987,5.32015856071143,0.2982646420824295,23.644251626898047,53.226681127982644,59.68004338394793
RandomForest_config2,physics,250,16,2.5283082095692158,1.8272591832342087,1.6265632979166595,0.046039391268927816,5.270000368463029,0.2982646420824295,23.59002169197397,53.52494577006508,59.59869848156182
RandomForest_config3,physics,250,16,2.5404728519080324,1.8498453989455443,1.6182381711778502,0.11709824934643569,5.312732533758948,0.2440347071583514,22.99349240780911,53.009761388286336,59.59869848156182
RandomForest_config1,combined,250,121,2.0702405981926635,2.2726416347501863,0.5577842682358486,0.7887331614684397,4.1523246501207005,0.0,1.5184381778741864,37.988069414316705,99.64750542299349
RandomForest_config2,combined,250,121,2.1073077456327174,2.3287818704206713,0.546507901622156,0.6084817170630519,4.185764565763344,0.0,3.3622559652928414,31.724511930585685,99.75596529284165
RandomForest_config3,combined,250,121,2.1252575564706433,2.29228231877112,0.5493791354875879,0.6696387085585778,4.179677021014901,0.0,1.9251626898047725,30.612798264642084,99.81019522776573
MLP_config1,raw,250,105,1.89016920948604,1.5259769431409254,1.2369896659712578,0.05071397293147025,4.553377952398436,9.517353579175705,29.853579175704994,61.06290672451193,79.55531453362255
MLP_config2,raw,250,105,1.8699781380715272,1.3749774210888184,1.0958887254813583,0.025957727885439107,4.071221764227059,4.1757049891540134,20.580260303687638,63.7472885032538,78.74186550976138
MLP_config3,raw,250,105,1.9342273153941822,1.733376993909669,0.9590165303357768,0.19480228145687217,3.984558018895845,1.4642082429501084,18.573752711496745,64.53362255965293,81.1822125813449
MLP_config1,physics,250,16,2.0254598946809135,2.1059570199170854,0.5963559421596132,0.14457439547454617,3.8046965715972463,0.56941431670282,6.941431670281996,41.350325379609544,97.69522776572668
MLP_config2,physics,250,16,2.717445460807635,2.6275534877537403,1.960644516629482,0.020599214489334685,6.926999954463643,10.84598698481562,19.929501084598698,40.780911062906725,74.81019522776573
MLP_config3,physics,250,16,2.350650174387457,2.4557999155849064,1.0522173661355492,0.4215930783004824,4.45235478639054,0.05422993492407809,8.75813449023861,40.699566160520604,78.6062906724512
MLP_config1,combined,250,121,2.032018058763454,1.8049495193124099,0.7858015017750299,0.401976227859066,4.565737309826784,0.05422993492407809,3.470715835140998,54.4468546637744,87.96095444685467
